as_of_date,trading_date,symbol,company,closing_price,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent
2023-06-30,2023-06-27,ENGRO,Engro Corporation Limited.,259.89,288081615.0,288081615.0,1.0,74869530922.35,1214844.2043010753,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9832676536473071,0.18429978544638748,0.5837837195468473,4.0,True
2023-06-30,2023-06-27,EPCL,Engro Polymer & Chemicals Ltd.,42.25,318123167.0,318123167.0,1.0,13440703805.75,1116510.4086021506,1.0,182,,,,,True,True,True,True,True,True,True,True,0.14471008654536394,0.16883321096334106,0.1567716487543525,22.0,True
2023-06-30,2023-06-27,FFC,Fauji Fertilizer Company Limited,98.44,699731036.0,699731036.0,1.0,68881523183.84,568715.5161290322,1.0,182,,,,,True,True,True,True,True,True,True,True,0.9015260766599833,0.08267249230453169,0.4920992844822575,8.0,True
2023-06-30,2023-06-27,HBL,Habib Bank Limited,73.23,733426254.0,733426254.0,1.0,53708804580.42,2300149.7741935486,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6944051108916485,0.3550036549990467,0.5247043829453476,6.0,True
2023-06-30,2023-06-27,HUBC,The Hub Power Company Limited,69.58,972865790.0,972865790.0,1.0,67692001668.2,3101459.8494623657,1.0,182,,,,,True,True,True,True,True,True,True,True,0.8852880608131701,0.48103887895304503,0.6831634698831076,3.0,True
2023-06-30,2023-06-27,KAPCO,Kot Addu Power Company.,20.8,456189121.0,456189121.0,1.0,9488733716.8,1002848.5698924732,1.0,182,,,,,True,True,True,True,True,True,True,True,0.09076221583705235,0.15095574287835328,0.12085897935770282,23.0,True
2023-06-30,2023-06-27,LUCK,Lucky Cement Limited.,522.09,109681250.0,109681250.0,1.0,57263483812.5,364846.7311827957,1.0,182,,,,,True,True,True,True,True,True,True,True,0.7429296116610161,0.050606693107749325,0.39676815238438273,11.0,True
2023-06-30,2023-06-27,MARI,Mari Petroleum Company Ltd.,1514.64,26680500.0,26680500.0,1.0,40411352520.0,43098.16129032258,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5128831842679307,0.0,0.25644159213396533,16.0,True
2023-06-30,2023-06-27,MCB,MCB Bank Limited,114.47,414771002.0,414771002.0,1.0,47478836598.94,387639.89247311826,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6093605635855983,0.054191748726676474,0.33177615615613737,14.0,True
2023-06-30,2023-06-27,MEBL,Meezan Bank Limited,86.37,447406080.0,447406080.0,1.0,38642463129.6,1106635.2258064516,1.0,182,,,,,True,True,True,True,True,True,True,True,0.48873628690212656,0.16727997843369258,0.32800813266790957,15.0,True
